Year,State Name,Average_Maize_Yield_Kg_per_ha
1995,Chhattisgarh,1429.8999999999999
1995,Gujarat,876.0933333333332
1995,Haryana,1612.4542857142858
1995,Himachal Pradesh,2230.8930000000005
1995,Karnataka,2865.577368421053
1995,Kerala,0.0
1995,Madhya Pradesh,1230.2859459459462
1995,Maharashtra,1082.5030769230768
1995,Orissa,1188.1892307692306
1995,Punjab,1538.6663636363637
1995,Rajasthan,709.7846153846153
1995,Tamil Nadu,1131.7033333333334
1995,Telangana,2428.0555555555557
1995,Uttar Pradesh,1297.8495652173913
1995,Uttarakhand,1127.96
1995,West Bengal,904.0257142857143
1996,Andhra Pradesh,3269.6036363636363
1996,Assam,648.74
1996,Bihar,1930.169090909091
1996,Chhattisgarh,1266.9883333333332
1996,Gujarat,1434.3377777777778
1996,Haryana,1422.1114285714284
1996,Himachal Pradesh,2010.172
1996,Karnataka,2801.1505263157896
1996,Kerala,0.0
1996,Madhya Pradesh,1146.625945945946
1996,Maharashtra,1103.8646153846153
1996,Orissa,1200.7815384615385
1996,Punjab,1984.890909090909
1996,Rajasthan,873.6553846153845
1996,Tamil Nadu,1142.61
1996,Telangana,2832.3388888888894
1996,Uttar Pradesh,1361.468260869565
1996,Uttarakhand,1183.4062499999998
1996,West Bengal,1146.9906666666668
1997,Andhra Pradesh,2409.4872727272727
1997,Assam,646.182
1997,Bihar,1793.9372727272726
1997,Chhattisgarh,1105.4383333333333
1997,Gujarat,1275.7783333333334
1997,Haryana,1329.53
1997,Himachal Pradesh,2171.31
1997,Jharkhand,1046.905
1997,Karnataka,2470.483684210527
1997,Kerala,0.0
1997,Madhya Pradesh,1109.658108108108
1997,Maharashtra,1180.1069230769228
1997,Orissa,1195.483076923077
1997,Punjab,1697.129090909091
1997,Rajasthan,962.428076923077
1997,Tamil Nadu,1125.02
1997,Telangana,2764.4555555555553
1997,Uttar Pradesh,1461.6656521739133
1997,Uttarakhand,1262.90875
1997,West Bengal,1670.2006666666666
1998,Andhra Pradesh,2694.867272727273
1998,Assam,637.4939999999999
1998,Bihar,1875.5672727272724
1998,Chhattisgarh,1263.2333333333333
1998,Gujarat,1259.548888888889
1998,Haryana,563.4914285714286
1998,Himachal Pradesh,2298.1989999999996
1998,Jharkhand,1302.0766666666668
1998,Karnataka,3040.0357894736844
1998,Kerala,0.0
1998,Madhya Pradesh,1228.5467567567566
1998,Maharashtra,1412.538076923077
1998,Orissa,1047.8069230769233
1998,Punjab,1966.1609090909087
1998,Rajasthan,825.4573076923075
1998,Tamil Nadu,1123.6399999999999
1998,Telangana,3184.3655555555547
1998,Uttar Pradesh,922.2682608695651
1998,Uttarakhand,1081.93125
1998,West Bengal,1987.858
1999,Andhra Pradesh,3669.1309090909085
